regno,inc_total2014,exp_vol2014,exp_total2014,employees2014,volunteers2014,yrl2014,inc_total2015,exp_vol2015,exp_total2015,employees2015,volunteers2015,yrl2015,charityid,outcome,frlevystatus,_mfrlevy,frid,regtype,_mfrscrape,paid,thresh,zoom,vertical
206655,1202797,6620,1100670,19,2332,364,996401,3186,1063141,19,2604,364,,,,master only (1),,,master only (1),0,0,0,100000
206658,7615000,2219000,8129000,115,50,364,8253000,2005000,7782000,115,200,364,206658,P,P,matched (3),id=0015800000QM6TiAAL,Levy Payer,matched (3),1,1,2,100000
206860,1259000,82000,1599000,5,60,364,1225000,152000,1341000,5,60,364,,,,master only (1),,,master only (1),0,0,0,100000
206862,11349179,543164,10423032,193,6,364,14624002,487177,13643096,213,6,364,,,,master only (1),,,master only (1),0,1,2,100000
206958,710683,119633,756758,11,250,364,737621,126024,858787,16,150,364,206958,P,P,matched (3),id=0015800000Yl4qjAAB,Levy Payer,matched (3),1,1,1,100000
207005,3236180,689011,3038421,66,500,364,3462568,671398,3102268,66,500,364,207005,P,P,matched (3),id=0015800000ReNCSAA3,Levy Payer,matched (3),1,1,2,100000
207006,1633758,13932,567928,14,75,364,1930464,315,564924,15,100,364,,,,master only (1),,,master only (1),0,0,0,100000
207043,70577000,324000,70086000,141,13,364,75072000,457000,71340000,151,13,364,207043,P,P,matched (3),id=0015800000XLSCXAA5,Levy Payer,matched (3),1,1,2,100000
207060,1659405,124750,1878639,65,250,364,1827550,117803,1927849,64,250,364,207060,P,P,matched (3),id=0015800000YlF76AAF,Levy Payer,matched (3),1,1,1,100000
207076,127045000,15301000,126779000,2217,16684,364,132872000,14933000,128194000,2195,13500,364,207076,P,P,matched (3),id=0015800000OJS27AAH,Levy Payer,matched (3),1,1,2,100000
207237,1559852,67203,1743674,22,120,364,1663628,90624,1921469,28,134,364,,,,master only (1),,,master only (1),0,0,0,100000
207238,15754000,78000,15023000,56,6,364,9226000,167000,12711000,49,9,364,207238,P,P,matched (3),,,master only (1),1,0,0,100000
207242,2019663,628380,1099242,12,18,364,1430644,679658,1161681,14,22,364,207242,P,P,matched (3),id=0015800000ReNFdAAN,Levy Payer,matched (3),1,1,2,100000
207275,1515196,63985,1550382,11,290,364,1105318,66536,1297872,10,220,364,,,,master only (1),id=0015800000YlHUQAA3,FR Registered Charity,matched (3),1,0,0,100000
207314,5478000,24000,5594000,62,10,364,5549000,13000,5444000,62,1,364,,,,master only (1),id=0015800000Yl5KyAAJ,FR Registered Charity,matched (3),1,0,0,100000
207316,16649000,383000,14976000,392,200,364,15635000,355000,15520000,391,200,364,207316,P,P,matched (3),id=0015800000XLSAbAAP,Levy Payer,matched (3),1,1,2,100000
207326,2035820,9668,1807595,14,65,364,2174301,0,2163820,14,56,364,,,,master only (1),,,master only (1),0,0,0,100000
207360,40250000,89000,40267000,1506,250,364,45497000,97000,42025000,1653,250,364,,,,master only (1),,,master only (1),0,0,0,100000
207405,1252302,923,390312,3,1,364,501631,2400,467296,3,0,364,,,,master only (1),,,master only (1),0,0,0,100000
207471,579697,2724,720740,6,18,364,1085067,600,1127612,5,25,364,,,,master only (1),,,master only (1),0,0,0,100000
207478,720311,68704,728285,3,300,364,539690,71411,522532,4,300,364,,,,master only (1),,,master only (1),0,0,0,100000
207493,4431601,8778,4305009,124,4,364,4088296,8641,3717070,115,0,364,,,,master only (1),,,master only (1),0,0,0,100000
207499,2543264,54709,2281121,7,0,364,2248899,0,2174860,8,0,364,,,,master only (1),,,master only (1),0,0,0,100000
207500,729776,86133,727817,14,10,364,850005,0,668414,13,12,364,,,,master only (1),,,master only (1),0,0,0,100000
207544,187578000,12787000,185041000,402,50,364,198303000,16520000,196864000,422,25,364,207544,P,P,matched (3),id=0015800000OJS2BAAX,Levy Payer,matched (3),1,1,2,100000
207607,885954,42489,1053793,9,20,364,907285,60553,1102443,15,20,364,,,,master only (1),,,master only (1),0,0,0,100000
207711,36009000,3881000,33631000,185,1000,364,39871000,3829000,35589000,179,700,364,207711,P,P,matched (3),id=0015800000QM6T0AAL,Levy Payer,matched (3),1,1,2,100000
207720,47090000,4849000,38825000,720,1400,364,37131000,4679000,38279000,685,1400,364,207720,P,P,matched (3),id=0015800000QM6SqAAL,Levy Payer,matched (3),1,1,2,100000
207736,4024288,149504,3262603,8,0,364,3388714,124002,3390220,8,0,364,207736,P,P,matched (3),id=0015800000YlKA7AAN,Levy Payer,matched (3),1,1,1,100000
207740,3405986,10472,3060256,92,117,364,3550656,5213,3369355,97,120,364,,,,master only (1),id=0015800000YlOm8AAF,FR Registered Charity,matched (3),1,0,0,100000
207782,15738000,86000,15506000,251,0,364,16528000,127000,16327000,267,0,364,,,,master only (1),,,master only (1),0,0,0,100000
207790,4890719,321,4314438,115,9,364,4702021,337,4325755,115,12,364,,,,master only (1),,,master only (1),0,0,0,100000
207812,26611000,1210000,30473000,633,350,364,28846000,934000,31214000,656,303,364,207812,C,C,matched (3),,,master only (1),0,1,2,100000
207890,53940000,375000,55202000,559,1370,364,53989000,452000,60106000,584,1400,364,207890,N,N,matched (3),id=0015800000XLSAqAAP,Levy Payer,matched (3),0,1,2,100000
207939,2475261,225405,2372345,25,0,364,2711220,308859,2673785,28,0,364,,,,master only (1),id=0015800000XLSGkAAP,Levy Payer,matched (3),0,1,2,100000
207994,154805000,43688000,164920000,4352,10989,364,155880000,42909000,165023000,4409,11415,364,207994,P,P,matched (3),id=0015800000OJS1rAAH,Levy Payer,matched (3),1,1,2,100000
207996,708666,40372,608634,8,0,364,693655,44763,590148,8,0,364,,,,master only (1),,,master only (1),0,0,0,100000
208078,4674930,183302,4360892,79,5701,364,5222125,146422,4865194,86,5652,364,208078,P,P,matched (3),id=0015800000YlV8iAAF,Levy Payer,matched (3),1,1,1,100000
208123,5203145,433667,5212839,92,1200,364,5139844,457067,5049800,97,1569,364,208123,C,C,matched (3),,,master only (1),0,1,2,100000
208178,1524591,320010,1594301,14,20,364,1338973,254308,1405660,16,20,364,208178,N,N,matched (3),,,master only (1),0,1,2,100000
208215,1644000,87000,2462000,41,31,364,1855000,76000,2192000,35,14,364,,,,master only (1),,,master only (1),0,0,0,100000
208217,99255000,11810000,103310000,1694,4600,364,91672000,15396000,107689000,1699,4000,364,208217,P,P,matched (3),id=0015800000OJS2EAAX,Levy Payer,matched (3),1,1,2,100000
208222,765695,144808,626578,7,286,364,860898,230064,819682,9,273,364,,,,master only (1),,,master only (1),0,1,1,100000
208223,12766000,826000,11685000,125,0,364,15880000,746000,13682000,135,0,364,208223,P,P,matched (3),id=0015800000ReNAjAAN,Levy Payer,matched (3),1,1,2,100000
208231,102635000,8560000,103295000,2700,9000,364,101068000,9592000,104239000,2567,9000,364,208231,P,P,matched (3),id=0015800000OJS2MAAX,Levy Payer,matched (3),1,1,2,100000
208291,826034,1593,776179,8,26,364,623908,1576,830758,7,14,364,,,,master only (1),,,master only (1),0,0,0,100000
208446,1283355,15494,1228100,35,100,364,1589285,20079,1468023,38,101,364,,,,master only (1),,,master only (1),0,0,0,100000
208520,5751650,287899,6089101,77,50,364,6326423,328947,6227918,82,15,364,208520,P,P,matched (3),id=0015800000XLSDxAAP,Levy Payer,matched (3),1,1,2,100000
208554,810068,270155,703322,5,0,364,673993,0,568309,2,0,364,,,,master only (1),,,master only (1),0,1,2,100000
208671,1293000,82000,746000,3,0,364,931000,100000,742000,3,0,364,,,,master only (1),,,master only (1),0,0,0,100000
208673,1408967,28300,1453017,20,0,364,1471409,27941,1313756,22,0,364,,,,master only (1),,,master only (1),0,0,0,100000
208701,7455221,3551976,7888444,50,1000,364,7467871,3738851,8635954,51,1000,364,208701,P,P,matched (3),id=0015800000QM6T4AAL,Levy Payer,matched (3),1,1,2,100000
208724,1816009,386923,1666876,21,0,364,2114087,573797,1942266,20,4,364,208724,N,N,matched (3),,,master only (1),0,1,2,100000
208728,55202000,956000,51033000,1136,494,364,55550000,1116000,53015000,808,601,364,208728,P,P,matched (3),id=0015800000ReNA4AAN,Levy Payer,matched (3),1,1,2,100000
208734,6870531,533424,4769223,76,900,364,5524892,526826,4748378,83,1000,364,208734,P,P,matched (3),id=0015800000ReNHAAA3,Levy Payer,matched (3),1,1,2,100000
208791,7129000,94000,4961000,52,2800,364,5407000,103000,5154000,54,2800,364,,,,master only (1),,,master only (1),0,0,0,100000
208858,6464000,473000,5984000,90,400,364,5680000,625000,5810000,96,438,364,208858,P,P,matched (3),id=0015800000XLS88AAH,Levy Payer,matched (3),1,1,2,100000
208879,2270947,30733,867060,4,50,364,9796963,9016,726267,3,8,364,,,,master only (1),,,master only (1),0,0,0,100000
208882,1672488,178763,1877405,15,39,364,1657054,54833,2195193,16,0,364,208882,P,P,matched (3),id=0015800000YlV35AAF,Levy Payer,matched (3),1,1,1,100000
208925,1190366,7917,1504949,9,27,364,2139296,73346,1576626,9,21,364,,,,master only (1),,,master only (1),0,0,0,100000
208944,27650000,270000,24347000,227,0,364,21929000,234000,24104000,228,0,364,208944,P,P,matched (3),id=0015800000XLSEVAA5,Levy Payer,matched (3),1,1,2,100000
209009,716421,60717,652624,6,70,364,666430,56371,614044,5,70,364,,,,master only (1),,,master only (1),0,0,0,100000
209015,6627019,2052934,5965203,28,200,364,6509870,2236793,6344644,28,293,364,209015,P,P,matched (3),id=0015800000QM6TrAAL,Levy Payer,matched (3),1,1,2,100000
209174,24111000,748000,20735000,43,600,364,14802000,859000,12654000,49,600,364,209174,P,P,matched (3),id=0015800000ReNBYAA3,Levy Payer,matched (3),1,1,2,100000
209259,6970425,1180327,7436818,35,400,364,6729520,1235995,6640634,36,300,364,209259,P,P,matched (3),id=0015800000QM6VMAA1,Levy Payer,matched (3),1,1,2,100000
209266,905709,143529,998123,5,10,364,1238557,148791,1296337,5,0,364,209266,P,P,matched (3),id=0015800000Yl9RcAAJ,Levy Payer,matched (3),1,1,1,100000
209302,9781000,116000,9640000,152,100,364,10459000,0,9806000,334,100,364,209302,N,N,matched (3),,,master only (1),0,1,1,100000
209376,1513282,8501,1659671,60,40,364,1397387,11031,1613596,75,35,364,,,,master only (1),,,master only (1),0,0,0,100000
209425,1794826,93334,1775513,24,74,364,2135175,105733,2006727,27,69,364,,,,master only (1),,,master only (1),0,0,0,100000
209448,768738,141640,495426,6,3,364,636216,133442,538774,6,4,364,209448,N,N,matched (3),,,master only (1),0,1,1,100000
209603,190016265,26791940,157649953,1763,35038,364,191334622,28004685,175334890,1916,36511,364,209603,P,P,matched (3),id=0015800000OJS1vAAH,Levy Payer,matched (3),1,1,2,100000
209617,101100000,31400000,94000000,1240,12000,364,103700000,35500000,104400000,1342,16000,364,209617,P,P,matched (3),id=0015800000OJS1sAAH,Levy Payer,matched (3),1,1,2,100000
209642,14169000,525000,13895000,234,20,364,17038000,798000,14936000,246,20,364,209642,P,P,matched (3),id=0015800000ReNHQAA3,Levy Payer,matched (3),1,1,2,100000
209691,6900295,303506,10432999,4,2,364,5789369,259157,6647859,4,1,364,,,,master only (1),,,master only (1),0,1,2,100000
209776,3436351,45234,3359345,87,18,364,3505797,39552,3370785,87,20,364,,,,master only (1),,,master only (1),0,0,0,100000
209777,1029712,93856,1180778,12,2,364,901113,46372,1121737,10,2,364,,,,master only (1),,,master only (1),0,0,0,100000
209930,706925,24494,940867,30,35,364,1039488,33582,756703,66,29,242,,,,master only (1),,,master only (1),0,0,0,100000
209934,1151818,39398,776511,6,6,364,904223,69921,890117,6,8,364,,,,master only (1),,,master only (1),0,0,0,100000
210031,9358000,684000,9142000,169,120,364,9123000,748000,9564000,171,120,364,210031,P,P,matched (3),id=0015800000ReNCUAA3,Levy Payer,matched (3),1,1,2,100000
210065,6478806,401269,5678467,91,2000,364,9454374,450118,6693371,70,2000,364,210065,P,P,matched (3),id=0015800000XLSABAA5,Levy Payer,matched (3),1,1,2,100000
210119,67642000,1466000,12806000,225,81,364,20928000,1659000,12761000,228,65,364,210119,P,P,matched (3),id=0015800000QM6UhAAL,Levy Payer,matched (3),1,1,2,100000
210202,1285796,3814,1144096,4,0,364,1826958,3187,1532897,5,0,364,,,,master only (1),,,master only (1),0,0,0,100000
210504,9581419,806568,10041624,89,1015,364,10425665,154632,10100282,98,1370,364,210504,P,P,matched (3),id=0015800000ReNAzAAN,Levy Payer,matched (3),1,1,2,100000
210508,40683000,79000,38752000,358,150,364,40735000,0,40522000,379,0,364,,,,master only (1),,,master only (1),0,0,0,100000
210531,2530460,138292,2059030,30,500,364,2843286,140466,2166353,32,500,364,210531,P,P,matched (3),id=0015800000YlCg8AAF,Levy Payer,matched (3),1,1,1,100000
210558,990180,14967,1162311,23,128,364,1268726,45174,1287370,25,214,364,,,,master only (1),,,master only (1),0,0,0,100000
210639,4110053,44038,4140589,47,5,364,5535501,32531,4598047,48,0,364,,,,master only (1),,,master only (1),0,0,0,100000
210667,19170000,1127000,23281000,311,1500,364,19496000,1152000,19382000,358,1200,364,210667,P,P,matched (3),id=0015800000QM6VZAA1,Levy Payer,matched (3),1,1,2,100000
210729,8122000,914000,10013000,92,1664,364,14343000,1036000,7928000,98,1359,364,210729,P,P,matched (3),id=0015800000ReNAGAA3,Levy Payer,matched (3),1,1,2,100000
210760,59655000,552000,59745000,851,6967,364,53819000,5977000,55434000,650,7060,364,210760,P,P,matched (3),id=0015800000ReNGiAAN,Levy Payer,matched (3),1,1,2,100000
210807,5724598,578356,5492786,77,700,364,5869853,630226,4896496,79,700,364,210807,P,P,matched (3),id=0015800000ReNGEAA3,Levy Payer,matched (3),1,1,2,100000
210848,7537757,55699,7215236,33,2500,364,8143933,60898,8177743,35,2500,364,,,,master only (1),,,master only (1),0,0,0,100000
210920,2393117,213100,2089819,38,17,364,2051168,202769,2347158,44,23,364,210920,P,P,matched (3),id=0015800000XLSHRAA5,Levy Payer,matched (3),1,1,2,100000
211015,33546000,7495000,31930000,635,4828,364,37496000,7559000,33577000,649,4000,364,211015,P,P,matched (3),id=0015800000OJS2QAAX,Levy Payer,matched (3),1,1,2,100000
211091,18465818,64709,18523265,577,347,364,18408252,81495,18545401,598,135,364,,,,master only (1),,,master only (1),0,0,0,100000
211234,22411000,1530000,22712000,452,271,364,22087000,1609000,22300000,437,700,364,211234,P,P,matched (3),id=0015800000QM6UXAA1,Levy Payer,matched (3),1,1,2,100000
211351,6805514,90820,6090430,51,28,364,7431553,92498,6146846,57,40,364,,,,master only (1),,,master only (1),0,0,0,100000
211670,1243371,113958,1151439,20,7,364,1248442,104866,1428239,22,10,364,,,,master only (1),,,master only (1),0,1,1,100000
211775,127532000,4938000,123790000,1024,115,370,141586000,4929000,124483000,1057,95,363,211775,P,P,matched (3),id=0015800000H324YAAR,Levy Payer,matched (3),1,1,2,100000
211850,6734000,548000,6390000,63,393,364,6770000,546000,6758000,59,300,364,211850,P,P,matched (3),id=0015800000ReNGoAAN,Levy Payer,matched (3),1,1,2,100000
212025,996639,15996,795286,5,1000,364,800297,18718,838515,6,1000,364,,,,master only (1),,,master only (1),0,0,0,100000
212034,1876074,76272,2006515,7,238,364,1462893,95596,2071365,7,230,364,,,,master only (1),,,master only (1),0,0,0,100000
212073,853513,451,950645,1,0,364,884533,0,1019641,1,0,364,,,,master only (1),,,master only (1),0,0,0,100000
212172,793088,4179,749619,11,75,364,1411360,7545,656367,11,80,364,,,,master only (1),,,master only (1),0,0,0,100000
212208,1903247,25948,2024997,53,160,364,1825123,25326,1796760,51,131,364,,,,master only (1),,,master only (1),0,0,0,100000
212325,2312702,129787,2215817,38,11,364,2370937,158468,2325548,38,16,364,212325,P,P,matched (3),id=0015800000YlL1BAAV,Levy Payer,matched (3),1,1,1,100000
212330,1857144,33411,1986461,20,150,364,2081037,0,2263417,17,200,364,,,,master only (1),,,master only (1),0,0,0,100000
212424,9730000,991000,9608000,94,65,364,10250000,988000,10432000,96,70,364,212424,C,C,matched (3),,,master only (1),0,1,2,100000
212450,740643,4255,734839,4,0,364,730272,8552,1006339,4,0,364,,,,master only (1),,,master only (1),0,0,0,100000
212479,2908598,317151,2730651,30,650,364,2652526,370946,2499723,33,950,364,212479,P,P,matched (3),id=0015800000XLSCpAAP,Levy Payer,matched (3),1,1,2,100000
212481,61740000,1192000,58987000,874,72,364,64236000,1379000,60472000,888,86,364,212481,P,P,matched (3),id=0015800000QM6VLAA1,Levy Payer,matched (3),1,1,2,100000
212563,12563000,625000,12758000,20,0,364,8882000,517000,12682000,22,0,242,212563,P,P,matched (3),id=0015800000ReNFgAAN,Levy Payer,matched (3),1,1,2,100000
212565,1280587,52971,990175,3,1,364,1032122,51816,912047,3,0,364,,,,master only (1),,,master only (1),0,0,0,100000
212667,525717,6214,549262,3,20,364,535512,8579,595654,3,20,364,,,,master only (1),,,master only (1),0,0,0,100000
212728,623899,104,807062,9,0,364,660185,100,776657,9,0,364,,,,master only (1),,,master only (1),0,0,0,100000
212744,1705065,193524,1941875,33,400,364,2214572,214479,1830666,32,450,364,212744,P,P,matched (3),id=0015800000YlPxEAAV,Levy Payer,matched (3),1,1,1,100000
212755,1612705,63258,1660191,27,5,364,1576280,71333,1603995,25,25,364,,,,master only (1),,,master only (1),0,0,0,100000
212796,611938,6886,615084,10,51,364,506882,5249,464766,8,51,364,,,,master only (1),,,master only (1),0,0,0,100000
212808,29856000,326000,29309000,301,100,364,32102000,349000,31855000,309,100,364,212808,P,P,matched (3),id=0015800000XLSCRAA5,Levy Payer,matched (3),1,1,2,100000
212810,24132000,1393000,24087000,354,1000,364,21579000,1025000,22006000,329,1000,364,212810,P,P,matched (3),id=0015800000QM6UtAAL,Levy Payer,matched (3),1,1,2,100000
212979,696760,21715,249250,1,200,364,668247,0,284407,1,6,364,,,,master only (1),,,master only (1),0,0,0,100000
213128,2390817,68610,986680,10,0,364,868504,54825,1199652,11,0,364,,,,master only (1),,,master only (1),0,0,0,100000
213148,723743,723215,723743,0,0,364,719884,0,719884,0,0,364,,,,master only (1),,,master only (1),0,1,2,100000
213224,3781365,310325,3438236,69,1700,364,3759619,288192,3589892,69,1500,364,213224,P,P,matched (3),id=0015800000XLSD3AAP,Levy Payer,matched (3),1,1,2,100000
213227,6892000,89000,6607000,64,640,364,7591000,93000,6685000,70,640,364,,,,master only (1),,,master only (1),0,0,0,100000
213251,5791448,810598,4593307,505,5,364,4972842,834157,5137154,525,5,364,213251,P,P,matched (3),id=0015800000ReNAvAAN,Levy Payer,matched (3),1,1,2,100000
213280,13120792,145332,12497647,143,0,364,15361126,73990,14560172,143,0,364,,,,master only (1),,,master only (1),0,1,1,100000
213422,5840000,407000,5791000,61,3500,364,7381000,464000,7085000,68,3500,364,213422,P,P,matched (3),id=0015800000XLS9qAAH,Levy Payer,matched (3),1,1,2,100000
213620,861940,433798,737237,7,0,364,958888,478378,1012573,8,0,364,,,,master only (1),,,master only (1),0,1,2,100000
213692,1133831,60886,1619015,29,150,364,1351714,97135,1590518,32,120,364,,,,master only (1),,,master only (1),0,0,0,100000
213890,370290000,31003000,348371000,1997,15193,364,389717000,26435000,381884000,1696,13317,364,213890,P,P,matched (3),id=0015800000OJS1tAAH,Levy Payer,matched (3),1,1,2,100000
214005,13368012,141031,14774444,200,13,364,15690000,107000,15334000,213,0,364,214005,P,P,matched (3),id=0015800000YlQ0sAAF,Levy Payer,matched (3),1,1,1,100000
214131,532612,19112,505696,15,191,364,551813,6527,524043,10,171,364,,,,master only (1),,,master only (1),0,0,0,100000
214249,621115,2312,577919,12,250,364,635953,7595,586975,11,250,364,,,,master only (1),,,master only (1),0,0,0,100000
214293,1158512,1060,833264,44,15,364,1086169,0,863750,47,0,364,,,,master only (1),,,master only (1),0,0,0,100000
214339,10018256,58057,10569069,347,73,364,9812149,51119,11010696,334,87,364,,,,master only (1),,,master only (1),0,0,0,100000
214348,906067,1886,905261,13,7,364,962323,0,958844,14,5,364,,,,master only (1),,,master only (1),0,0,0,100000
214364,11643000,151000,10088000,110,35,364,16486000,163000,9625000,108,50,364,214364,P,P,matched (3),id=0015800000YlQvtAAF,Levy Payer,matched (3),1,1,1,100000
214779,196265000,8906000,166957000,2889,10000,364,194248000,10186000,178610000,2882,10000,364,214779,P,P,matched (3),id=0015800000OJS2LAAX,Levy Payer,matched (3),1,1,2,100000
214927,2010460,126551,2021554,35,500,364,1864718,156122,1923575,40,500,364,214927,P,P,matched (3),id=0015800000YlPq1AAF,Levy Payer,matched (3),1,1,1,100000
214929,2344989,376827,2050771,47,1720,364,2866301,890478,2467943,57,2000,364,214929,P,P,matched (3),id=0015800000XLSAhAAP,Levy Payer,matched (3),1,1,2,100000
215011,547223,1889,672704,0,12,364,829540,2270,627142,0,12,364,,,,master only (1),,,master only (1),0,0,0,100000
215174,104579000,694000,108013000,2412,100,364,112434000,710000,106018000,2491,150,364,,,,master only (1),,,master only (1),0,1,2,100000
215199,41808000,7003000,36344000,327,7181,364,37028000,7029000,38019000,381,7250,364,215199,P,P,matched (3),id=0015800000OJS2VAAX,Levy Payer,matched (3),1,1,2,100000
215398,1645798,176956,1163040,6,250,364,1117707,216670,1215701,6,50,364,215398,P,P,matched (3),id=0015800000YlVeWAAV,Levy Payer,matched (3),1,1,1,100000
215409,574737,27929,557834,16,50,364,559230,38118,579268,17,50,364,,,,master only (1),,,master only (1),0,0,0,100000
215863,1851224,36457,1807933,71,179,242,2669236,63189,2722524,73,122,364,,,,master only (1),,,master only (1),0,0,0,100000
216032,21656000,5380000,26565000,94,2000,364,20588000,5728000,31561000,111,2000,364,216032,P,P,matched (3),id=0015800000OJS2jAAH,Levy Payer,matched (3),1,1,2,100000
216066,926946,7444,905140,12,640,364,796162,7504,1114605,12,2000,364,,,,master only (1),,,master only (1),0,0,0,100000
216092,2465602,4961,2412697,70,240,364,2540168,5722,2471678,64,230,364,,,,master only (1),,,master only (1),0,0,0,100000
